Inicio;Fin;IRI
604060;604080;2,5
604080;604100;2,3
604100;604120;2,4
604120;604140;2,8
604140;604160;2,6
604160;604180;2,3
604180;604200;2,8
604200;604220;2,5
604220;604240;2,7
604240;604260;1,9
604260;604280;2,5
604280;604300;3,4
604300;604320;3,4
604320;604340;3,3
604340;604360;3,9
604360;604380;3,4
604380;604400;2,2
604400;604420;2,6
604420;604440;2,2
604440;604460;2,0
604460;604480;2,3
604480;604500;3,7
604500;604520;3,5
604520;604540;3,0
604540;604560;3,0
604560;604580;2,4
604580;604600;1,9
604600;604620;2,1
604620;604640;2,2
604640;604660;2,2
604660;604680;2,8
604680;604700;2,2
604700;604720;2,5
604720;604740;3,1
604740;604760;2,8
604760;604780;3,6
604780;604800;4,0
604800;604820;4,1
604820;604840;6,1
604840;604860;3,9
604860;604880;3,4
604880;604900;3,1
604900;604920;4,3
604920;604940;6,6
604940;604960;4,5
604960;604980;3,9
604980;605000;5,3
605000;605020;3,6
605020;605040;4,2
605040;605060;2,5
605060;605080;3,5
605080;605100;4,6
605100;605120;6,1
605120;605140;4,9
605140;605160;3,3
605160;605180;3,2
605180;605200;2,6
605200;605220;3,0
605220;605240;4,7
605240;605260;5,2
605260;605280;5,2
605280;605300;4,8
605300;605320;5,0
605320;605340;3,5
605340;605360;3,2
605360;605380;3,0
605380;605400;3,2
605400;605420;2,6
605420;605440;2,8
605440;605460;1,9
605460;605480;2,8
605480;605500;3,3
605500;605520;3,6
605520;605540;2,5
605540;605560;2,6
605560;605580;2,7
605580;605600;2,1
605600;605620;1,9
605620;605640;2,2
605640;605660;2,1
605660;605680;2,3
605680;605700;2,5
605700;605720;2,7
605720;605740;2,4
605740;605760;2,0
605760;605780;2,3
605780;605800;3,0
605800;605820;2,2
605820;605840;2,1
605840;605860;2,5
605860;605880;2,3
605880;605900;2,9
605900;605920;3,3
605920;605940;2,3
605940;605960;2,1
605960;605980;2,0
605980;606000;2,4
606000;606020;2,5
606020;606040;2,4
606040;606060;2,2
606060;606080;2,3
606080;606100;2,5
606100;606120;2,7
606120;606140;2,4
606140;606160;2,2
606160;606180;2,3
606180;606200;2,4
606200;606220;2,6
606220;606240;2,9
606240;606260;2,7
606260;606280;2,6
606280;606300;2,2
606300;606320;2,2
606320;606340;3,1
606340;606360;3,1
606360;606380;3,0
606380;606400;3,1
606400;606420;2,6
606420;606440;2,2
606440;606460;2,0
606460;606480;2,1
606480;606500;2,0
606500;606520;1,9
606520;606540;2,0
606540;606560;2,7
606560;606580;3,0
606580;606600;2,8
606600;606620;2,1
606620;606640;2,7
606640;606660;3,1
606660;606680;2,5
606680;606700;2,0
606700;606720;2,4
606720;606740;2,1
606740;606760;2,6
606760;606780;2,7
606780;606800;2,7
606800;606820;2,6
606820;606840;2,4
606840;606860;2,3
606860;606880;5,0
